Input,Output
"[-5.2262778452110865, -2.231929666553361, 0.5520826084487662, -6.336488113954886, 1.8692679733631983]","[-5.225919416509028, -2.1616749645372084, 0.5899468757285471, -6.287464624449626, 1.7852504793999315]"
"[-5.225919416509028, -2.1616749645372084, 0.5899468757285471, -6.287464624449626, 1.7852504793999315]","[-5.1589068526381885, -2.142659072533689, 0.6634875409148551, -6.2232232378797985, 1.7445632451681472]"
"[-5.1589068526381885, -2.142659072533689, 0.6634875409148551, -6.2232232378797985, 1.7445632451681472]","[-5.135790678571453, -2.190927313185548, 0.7324305417174731, -6.242310311724413, 1.7808130627181382]"
"[-5.135790678571453, -2.190927313185548, 0.7324305417174731, -6.242310311724413, 1.7808130627181382]","[-5.079767040693991, -2.2586025490404724, 0.7040635799011494, -6.2242537144162755, 1.8807705819781337]"
"[-5.079767040693991, -2.2586025490404724, 0.7040635799011494, -6.2242537144162755, 1.8807705819781337]","[-5.0116903825211665, -2.166269164192116, 0.7592400714980992, -6.212831997687562, 1.9460674591543894]"
"[-5.0116903825211665, -2.166269164192116, 0.7592400714980992, -6.212831997687562, 1.9460674591543894]","[-5.014727610306542, -2.2125411657549376, 0.7743187216769285, -6.1770606245380435, 1.8574665986215537]"
"[-5.014727610306542, -2.2125411657549376, 0.7743187216769285, -6.1770606245380435, 1.8574665986215537]","[-5.0554827883103535, -2.1183975637978993, 0.7493495227715969, -6.212235698092516, 1.8783640989498545]"
"[-5.0554827883103535, -2.1183975637978993, 0.7493495227715969, -6.212235698092516, 1.8783640989498545]","[-5.1060969469798865, -2.129471176645268, 0.7928573362083223, -6.30554984842827, 1.7984496701644201]"
"[-5.1060969469798865, -2.129471176645268, 0.7928573362083223, -6.30554984842827, 1.7984496701644201]","[-5.195609648142127, -2.224479117846387, 0.8149039442216672, -6.3601008032649275, 1.8046215010884725]"
"[-5.195609648142127, -2.224479117846387, 0.8149039442216672, -6.3601008032649275, 1.8046215010884725]","[-5.204075548055283, -2.2212291957675814, 0.8722324419984258, -6.34943020348475, 1.706379002112704]"
"[-5.204075548055283, -2.2212291957675814, 0.8722324419984258, -6.34943020348475, 1.706379002112704]","[-5.14553636926782, -2.253105214855347, 0.9059525415165554, -6.379394188516793, 1.693894861883803]"
"[-5.14553636926782, -2.253105214855347, 0.9059525415165554, -6.379394188516793, 1.693894861883803]","[-5.113525471669109, -2.1854045525973373, 0.8805882730074083, -6.330930212160913, 1.6245982339483418]"
"[-5.113525471669109, -2.1854045525973373, 0.8805882730074083, -6.330930212160913, 1.6245982339483418]","[-5.035518654672063, -2.210316333786069, 0.8392199810957732, -6.299689394070623, 1.6266053538432867]"
"[-5.035518654672063, -2.210316333786069, 0.8392199810957732, -6.299689394070623, 1.6266053538432867]","[-4.966933520016784, -2.261571743251863, 0.7449185915655718, -6.373458085513538, 1.7181418594486455]"
"[-4.966933520016784, -2.261571743251863, 0.7449185915655718, -6.373458085513538, 1.7181418594486455]","[-4.886339877461867, -2.2991996939430908, 0.7362462753110628, -6.437580479648553, 1.6409945143466116]"
"[-4.886339877461867, -2.2991996939430908, 0.7362462753110628, -6.437580479648553, 1.6409945143466116]","[-4.890889962677001, -2.2658659867845894, 0.688813545613639, -6.43822724643874, 1.6935995041824745]"
"[-4.890889962677001, -2.2658659867845894, 0.688813545613639, -6.43822724643874, 1.6935995041824745]","[-4.937908931272639, -2.2182535902704723, 0.6669024385764649, -6.51789490509717, 1.790048401040686]"
"[-4.937908931272639, -2.2182535902704723, 0.6669024385764649, -6.51789490509717, 1.790048401040686]","[-4.8845803574174775, -2.2263409886654197, 0.7027256270241506, -6.443372275348927, 1.7800156730980465]"
"[-4.8845803574174775, -2.2263409886654197, 0.7027256270241506, -6.443372275348927, 1.7800156730980465]","[-4.832205880124468, -2.2268803759614184, 0.631667189080066, -6.53419187310168, 1.6977852072705009]"
"[-4.832205880124468, -2.2268803759614184, 0.631667189080066, -6.53419187310168, 1.6977852072705009]","[-4.883861817076186, -2.2954597165551927, 0.5329298912113175, -6.614355665803252, 1.6287510976434594]"
"[-4.883861817076186, -2.2954597165551927, 0.5329298912113175, -6.614355665803252, 1.6287510976434594]","[-4.806578223503532, -2.206019204349814, 0.5752173498054698, -6.560580250895979, 1.5515442403436723]"
"[-4.806578223503532, -2.206019204349814, 0.5752173498054698, -6.560580250895979, 1.5515442403436723]","[-4.803250835752246, -2.296359472639406, 0.5903191397294225, -6.593705188066323, 1.499810160494237]"
"[-4.803250835752246, -2.296359472639406, 0.5903191397294225, -6.593705188066323, 1.499810160494237]","[-4.822800784712435, -2.3331313875422848, 0.5071131120034529, -6.659414254310902, 1.4718385905167934]"
"[-4.822800784712435, -2.3331313875422848, 0.5071131120034529, -6.659414254310902, 1.4718385905167934]","[-4.817158277375535, -2.274233124499268, 0.4131996033048836, -6.613613225092855, 1.430611643195833]"
"[-4.817158277375535, -2.274233124499268, 0.4131996033048836, -6.613613225092855, 1.430611643195833]","[-4.780475511952529, -2.342319622199994, 0.3190403145461472, -6.525762209952936, 1.4305575403940936]"
"[-4.780475511952529, -2.342319622199994, 0.3190403145461472, -6.525762209952936, 1.4305575403940936]","[-4.862893373133098, -2.273310904791039, 0.3021009802216982, -6.564372809559241, 1.497952745138666]"
"[-4.862893373133098, -2.273310904791039, 0.3021009802216982, -6.564372809559241, 1.497952745138666]","[-4.909279457815023, -2.2515864122724247, 0.20571925324923224, -6.549599824420584, 1.5892610107358829]"
"[-4.909279457815023, -2.2515864122724247, 0.20571925324923224, -6.549599824420584, 1.5892610107358829]","[-4.80991879625503, -2.184098022818194, 0.14956289374777582, -6.6235096677491585, 1.54474014202564]"
"[-4.80991879625503, -2.184098022818194, 0.14956289374777582, -6.6235096677491585, 1.54474014202564]","[-4.821641405219627, -2.178978318230202, 0.08924399364183963, -6.638009100754738, 1.4979643785792374]"
"[-4.821641405219627, -2.178978318230202, 0.08924399364183963, -6.638009100754738, 1.4979643785792374]","[-4.74010807553158, -2.1943996876528025, 0.1569095439598844, -6.650347056230218, 1.5071754600201526]"
"[-4.74010807553158, -2.1943996876528025, 0.1569095439598844, -6.650347056230218, 1.5071754600201526]","[-4.706923879457238, -2.1321806607568856, 0.05760202764545144, -6.742204391726348, 1.6003370718902403]"
"[-4.706923879457238, -2.1321806607568856, 0.05760202764545144, -6.742204391726348, 1.6003370718902403]","[-4.716186622190838, -2.053553243807057, -0.016629028675411467, -6.658880812032825, 1.5615430103565935]"
"[-4.716186622190838, -2.053553243807057, -0.016629028675411467, -6.658880812032825, 1.5615430103565935]","[-4.644883933328922, -1.9662594630364412, 0.05591105058512161, -6.711733097450219, 1.5686572020076066]"
"[-4.644883933328922, -1.9662594630364412, 0.05591105058512161, -6.711733097450219, 1.5686572020076066]","[-4.652468967562204, -1.8984945831055857, -0.02702860556205644, -6.633035949208269, 1.5010193121544726]"
"[-4.652468967562204, -1.8984945831055857, -0.02702860556205644, -6.633035949208269, 1.5010193121544726]","[-4.637917271654005, -1.9432231585746418, 0.034907082864843786, -6.660622747012701, 1.5598655711248184]"
"[-4.637917271654005, -1.9432231585746418, 0.034907082864843786, -6.660622747012701, 1.5598655711248184]","[-4.6547343789522895, -1.9976840642112497, 0.11213779707230304, -6.723036019982042, 1.5220891873362297]"
"[-4.6547343789522895, -1.9976840642112497, 0.11213779707230304, -6.723036019982042, 1.5220891873362297]","[-4.736021524592143, -2.08868179694052, 0.0956307258222138, -6.654087345870477, 1.5127519397203437]"
"[-4.736021524592143, -2.08868179694052, 0.0956307258222138, -6.654087345870477, 1.5127519397203437]","[-4.678396784537444, -2.0884630333935434, 0.10960472007503519, -6.6443614590049185, 1.5465310360553717]"
"[-4.678396784537444, -2.0884630333935434, 0.10960472007503519, -6.6443614590049185, 1.5465310360553717]","[-4.704945349620712, -2.1140615703949375, 0.06349219237427989, -6.721614673773673, 1.4585700569842774]"
"[-4.704945349620712, -2.1140615703949375, 0.06349219237427989, -6.721614673773673, 1.4585700569842774]","[-4.60690291709678, -2.184413589861112, 0.07135812107838092, -6.687401480420438, 1.4452940259339113]"
"[-4.60690291709678, -2.184413589861112, 0.07135812107838092, -6.687401480420438, 1.4452940259339113]","[-4.512771253384116, -2.2472690029393765, 0.1276748626344985, -6.661236933960001, 1.447870651393193]"
"[-4.512771253384116, -2.2472690029393765, 0.1276748626344985, -6.661236933960001, 1.447870651393193]","[-4.583180703308468, -2.263682006372873, 0.1599127085590012, -6.698742820926552, 1.3774726077007389]"
"[-4.583180703308468, -2.263682006372873, 0.1599127085590012, -6.698742820926552, 1.3774726077007389]","[-4.500964365295193, -2.223147468045385, 0.14686091676824714, -6.70226031003816, 1.3133371086323375]"
"[-4.500964365295193, -2.223147468045385, 0.14686091676824714, -6.70226031003816, 1.3133371086323375]","[-4.421922878177346, -2.177948108592981, 0.23544840188659824, -6.713998765890741, 1.3906420154917216]"
"[-4.421922878177346, -2.177948108592981, 0.23544840188659824, -6.713998765890741, 1.3906420154917216]","[-4.393423725352039, -2.2284346859731663, 0.1917785656965371, -6.666093372019523, 1.4281036838686618]"
"[-4.393423725352039, -2.2284346859731663, 0.1917785656965371, -6.666093372019523, 1.4281036838686618]","[-4.491879341172692, -2.1634792568377357, 0.27734705819387007, -6.75868763492222, 1.3639291814053263]"
"[-4.491879341172692, -2.1634792568377357, 0.27734705819387007, -6.75868763492222, 1.3639291814053263]","[-4.586897962341777, -2.1743530534030704, 0.23716358262176074, -6.665951595874846, 1.4598197513179374]"
"[-4.586897962341777, -2.1743530534030704, 0.23716358262176074, -6.665951595874846, 1.4598197513179374]","[-4.4897718098081825, -2.1587022053910436, 0.3343062115760538, -6.732365329866191, 1.5024297779630034]"
"[-4.4897718098081825, -2.1587022053910436, 0.3343062115760538, -6.732365329866191, 1.5024297779630034]","[-4.431836250998682, -2.1308061976286297, 0.41088552726691646, -6.832160389883366, 1.5264826308444714]"
"[-4.431836250998682, -2.1308061976286297, 0.41088552726691646, -6.832160389883366, 1.5264826308444714]","[-4.351360837292711, -2.1400950655691164, 0.3403921982724271, -6.894900597747284, 1.4540799074184991]"
"[-4.351360837292711, -2.1400950655691164, 0.3403921982724271, -6.894900597747284, 1.4540799074184991]","[-4.27710381659024, -2.2350709911385955, 0.35690972071785476, -6.994092361733687, 1.3655688924187679]"
"[-4.27710381659024, -2.2350709911385955, 0.35690972071785476, -6.994092361733687, 1.3655688924187679]","[-4.2291095845727735, -2.2501652979710602, 0.4214110749934252, -6.970438984350266, 1.4061059566177248]"
"[-4.2291095845727735, -2.2501652979710602, 0.4214110749934252, -6.970438984350266, 1.4061059566177248]","[-4.151925411658938, -2.179125350221923, 0.45136015344620717, -7.05489577177983, 1.4371564856449475]"
"[-4.151925411658938, -2.179125350221923, 0.45136015344620717, -7.05489577177983, 1.4371564856449475]","[-4.2157557874566685, -2.197139553731647, 0.4753707964703166, -7.043527407677424, 1.3783119367865007]"
"[-4.2157557874566685, -2.197139553731647, 0.4753707964703166, -7.043527407677424, 1.3783119367865007]","[-4.299597312377669, -2.220898317704492, 0.4285918913529605, -7.0299668477065795, 1.423229517094834]"
"[-4.299597312377669, -2.220898317704492, 0.4285918913529605, -7.0299668477065795, 1.423229517094834]","[-4.38124152839036, -2.1288737352473053, 0.48851703466753793, -7.070947789343621, 1.3334077592362146]"
"[-4.38124152839036, -2.1288737352473053, 0.48851703466753793, -7.070947789343621, 1.3334077592362146]","[-4.45284419975858, -2.043705530438405, 0.5292165391497526, -6.9784620911620685, 1.2690285701988566]"
"[-4.45284419975858, -2.043705530438405, 0.5292165391497526, -6.9784620911620685, 1.2690285701988566]","[-4.392680509680784, -2.1431609626174857, 0.6109507500736402, -7.005918280857592, 1.2708573754510124]"
"[-4.392680509680784, -2.1431609626174857, 0.6109507500736402, -7.005918280857592, 1.2708573754510124]","[-4.440932370837571, -2.066953842119419, 0.5699597563541612, -6.950721953961901, 1.2733851478203344]"
"[-4.440932370837571, -2.066953842119419, 0.5699597563541612, -6.950721953961901, 1.2733851478203344]","[-4.405126176952763, -2.1085795916064005, 0.6143997305398468, -6.911837671329735, 1.2338299679204399]"
"[-4.405126176952763, -2.1085795916064005, 0.6143997305398468, -6.911837671329735, 1.2338299679204399]","[-4.4726504726859755, -2.0854332229759436, 0.6587844182331327, -6.956320306150318, 1.233027675546464]"
"[-4.4726504726859755, -2.0854332229759436, 0.6587844182331327, -6.956320306150318, 1.233027675546464]","[-4.484383927633768, -2.0446835705520003, 0.6583100148256223, -7.0552651348845465, 1.1599915955654099]"
"[-4.484383927633768, -2.0446835705520003, 0.6583100148256223, -7.0552651348845465, 1.1599915955654099]","[-4.455789605540517, -2.119252175144419, 0.7423845688538246, -7.026719108968046, 1.1014310951434316]"
"[-4.455789605540517, -2.119252175144419, 0.7423845688538246, -7.026719108968046, 1.1014310951434316]","[-4.374499205504597, -2.0975571731828007, 0.776900886550066, -6.99951591960057, 1.1032193922148017]"
"[-4.374499205504597, -2.0975571731828007, 0.776900886550066, -6.99951591960057, 1.1032193922148017]","[-4.351790714378105, -2.0507982591318403, 0.7552328921318916, -6.941439628792629, 1.1555932205907737]"
"[-4.351790714378105, -2.0507982591318403, 0.7552328921318916, -6.941439628792629, 1.1555932205907737]","[-4.372757437732685, -2.131583738288421, 0.7259726390835747, -6.943854638749884, 1.0991036841324595]"
"[-4.372757437732685, -2.131583738288421, 0.7259726390835747, -6.943854638749884, 1.0991036841324595]","[-4.452615633725624, -2.1611048594072, 0.6654662986024592, -7.029801830062388, 1.19175860402877]"
"[-4.452615633725624, -2.1611048594072, 0.6654662986024592, -7.029801830062388, 1.19175860402877]","[-4.544020874843023, -2.0820324213527033, 0.7542935083280111, -7.040828576049387, 1.123377571316679]"
"[-4.544020874843023, -2.0820324213527033, 0.7542935083280111, -7.040828576049387, 1.123377571316679]","[-4.461687025576095, -2.0932412039913357, 0.7773052835759563, -7.12036199030635, 1.1005799553904787]"
"[-4.461687025576095, -2.0932412039913357, 0.7773052835759563, -7.12036199030635, 1.1005799553904787]","[-4.425365740194513, -2.1055819972577554, 0.8537306958283042, -7.159435065836797, 1.0083614154790743]"
"[-4.425365740194513, -2.1055819972577554, 0.8537306958283042, -7.159435065836797, 1.0083614154790743]","[-4.413363296741875, -2.0251640557101083, 0.7571833187602942, -7.254213004311508, 1.041049884772722]"
"[-4.413363296741875, -2.0251640557101083, 0.7571833187602942, -7.254213004311508, 1.041049884772722]","[-4.490778531774217, -2.069923565312776, 0.6598799752714856, -7.196836939086443, 1.0830523791024027]"
"[-4.490778531774217, -2.069923565312776, 0.6598799752714856, -7.196836939086443, 1.0830523791024027]","[-4.55964215448815, -2.038288239538713, 0.5823177434238881, -7.151755615117175, 1.0307650480553128]"
"[-4.55964215448815, -2.038288239538713, 0.5823177434238881, -7.151755615117175, 1.0307650480553128]","[-4.621520908066859, -1.991508665393329, 0.4846435219250516, -7.13962905904336, 0.9679094167432136]"
"[-4.621520908066859, -1.991508665393329, 0.4846435219250516, -7.13962905904336, 0.9679094167432136]","[-4.669824201877214, -1.941269496528417, 0.4030994781527073, -7.173738158289175, 0.90483084777845]"
"[-4.669824201877214, -1.941269496528417, 0.4030994781527073, -7.173738158289175, 0.90483084777845]","[-4.712277220272128, -1.9133603093324574, 0.3397091617278474, -7.107424712450262, 0.8205425749583599]"
"[-4.712277220272128, -1.9133603093324574, 0.3397091617278474, -7.107424712450262, 0.8205425749583599]","[-4.734104416068273, -1.9370450925824256, 0.3366831092571766, -7.133350718105731, 0.9191482424875727]"
"[-4.734104416068273, -1.9370450925824256, 0.3366831092571766, -7.133350718105731, 0.9191482424875727]","[-4.73509596380003, -1.9072241096220768, 0.3391075421442534, -7.184976400079962, 0.8284011157641527]"
"[-4.73509596380003, -1.9072241096220768, 0.3391075421442534, -7.184976400079962, 0.8284011157641527]","[-4.82988758231868, -1.8549128949534512, 0.2410800208368255, -7.174897343394155, 0.7340595314546702]"
"[-4.82988758231868, -1.8549128949534512, 0.2410800208368255, -7.174897343394155, 0.7340595314546702]","[-4.874470546577822, -1.9347898426840768, 0.3291018418015157, -7.269842772968412, 0.8119809813678727]"
"[-4.874470546577822, -1.9347898426840768, 0.3291018418015157, -7.269842772968412, 0.8119809813678727]","[-4.859346768260498, -1.8982761187353214, 0.26031146061304555, -7.203405328545638, 0.91012352498564]"
"[-4.859346768260498, -1.8982761187353214, 0.26031146061304555, -7.203405328545638, 0.91012352498564]","[-4.917558101071014, -1.8679530808508173, 0.31450401289184127, -7.167204580783409, 0.8641219139923663]"
"[-4.917558101071014, -1.8679530808508173, 0.31450401289184127, -7.167204580783409, 0.8641219139923663]","[-4.909685583042857, -1.8172878783864435, 0.39107695996800784, -7.095119241195485, 0.7971028107824184]"
"[-4.909685583042857, -1.8172878783864435, 0.39107695996800784, -7.095119241195485, 0.7971028107824184]","[-4.831099823686123, -1.8769875618624638, 0.33934177639064006, -7.010855752574407, 0.7946551697919507]"
"[-4.831099823686123, -1.8769875618624638, 0.33934177639064006, -7.010855752574407, 0.7946551697919507]","[-4.86432156817098, -1.780936070671518, 0.27415853047909866, -7.029572357915272, 0.8690373030400863]"
"[-4.86432156817098, -1.780936070671518, 0.27415853047909866, -7.029572357915272, 0.8690373030400863]","[-4.790797926949071, -1.859372121676706, 0.3602217976919935, -7.026226176049423, 0.8115166891917562]"
"[-4.790797926949071, -1.859372121676706, 0.3602217976919935, -7.026226176049423, 0.8115166891917562]","[-4.832728997849893, -1.884101747889139, 0.3159094553865427, -6.995993844356106, 0.885446231064997]"
"[-4.832728997849893, -1.884101747889139, 0.3159094553865427, -6.995993844356106, 0.885446231064997]","[-4.882457512238473, -1.8610740509701678, 0.2646530553840909, -6.902173212932916, 0.968492395130087]"
"[-4.882457512238473, -1.8610740509701678, 0.2646530553840909, -6.902173212932916, 0.968492395130087]","[-4.961019159231052, -1.8104722324413793, 0.23232961018039283, -6.914785220266604, 0.8946679243486348]"
"[-4.961019159231052, -1.8104722324413793, 0.23232961018039283, -6.914785220266604, 0.8946679243486348]","[-4.901678362804414, -1.866322898956893, 0.20564407574200752, -6.862542243802311, 0.8435813399019908]"
"[-4.901678362804414, -1.866322898956893, 0.20564407574200752, -6.862542243802311, 0.8435813399019908]","[-4.980118482781704, -1.92804338366648, 0.2794848545564307, -6.788432292758391, 0.8905116060424777]"
"[-4.980118482781704, -1.92804338366648, 0.2794848545564307, -6.788432292758391, 0.8905116060424777]","[-4.941926538510292, -1.91466557557887, 0.31915644202102267, -6.692032656613385, 0.8952337122936006]"
"[-4.941926538510292, -1.91466557557887, 0.31915644202102267, -6.692032656613385, 0.8952337122936006]","[-4.884346948481337, -1.993477686354944, 0.2993575458454366, -6.7565436718260825, 0.8237086037449644]"
"[-4.884346948481337, -1.993477686354944, 0.2993575458454366, -6.7565436718260825, 0.8237086037449644]","[-4.973387256619974, -2.029444888943419, 0.302364599425589, -6.743877216600276, 0.9196411581890839]"
"[-4.973387256619974, -2.029444888943419, 0.302364599425589, -6.743877216600276, 0.9196411581890839]","[-5.025587949023896, -2.063479429968677, 0.22989845477377566, -6.795708203559515, 1.0043414351753157]"
"[-5.025587949023896, -2.063479429968677, 0.22989845477377566, -6.795708203559515, 1.0043414351753157]","[-4.993860560382907, -1.9808581964495389, 0.324572709872753, -6.836446762297104, 0.9956795275239451]"
"[-4.993860560382907, -1.9808581964495389, 0.324572709872753, -6.836446762297104, 0.9956795275239451]","[-5.014525012034487, -2.0227254729105217, 0.36857709609176564, -6.887928555719578, 1.0608563272906617]"
"[-5.014525012034487, -2.0227254729105217, 0.36857709609176564, -6.887928555719578, 1.0608563272906617]","[-4.9680552234254005, -1.9624932525960659, 0.3993791461652525, -6.98002094323192, 1.0768582950193182]"
"[-4.9680552234254005, -1.9624932525960659, 0.3993791461652525, -6.98002094323192, 1.0768582950193182]","[-4.8758239031593815, -1.94804615012918, 0.41322508611098047, -7.0434405689603645, 1.087346253672131]"
"[-4.8758239031593815, -1.94804615012918, 0.41322508611098047, -7.0434405689603645, 1.087346253672131]","[-4.776272027511146, -2.0342311330525535, 0.4774872066224395, -7.110154615794176, 1.1748592395410604]"
"[-4.776272027511146, -2.0342311330525535, 0.4774872066224395, -7.110154615794176, 1.1748592395410604]","[-4.692172271257723, -2.00358822612381, 0.5005866135491064, -7.201216475967151, 1.272447959314385]"
"[-4.692172271257723, -2.00358822612381, 0.5005866135491064, -7.201216475967151, 1.272447959314385]","[-4.692085307296907, -1.9063395486878782, 0.45063149592777707, -7.279386043301548, 1.2775835796591926]"
"[-4.692085307296907, -1.9063395486878782, 0.45063149592777707, -7.279386043301548, 1.2775835796591926]","[-4.623443012198167, -1.815620535664032, 0.400001340414061, -7.305232627091664, 1.1956430500995436]"
"[-4.623443012198167, -1.815620535664032, 0.400001340414061, -7.305232627091664, 1.1956430500995436]","[-4.5627019555907395, -1.9151394958185368, 0.33861578740940523, -7.371284205475936, 1.1572691330177467]"
"[-4.5627019555907395, -1.9151394958185368, 0.33861578740940523, -7.371284205475936, 1.1572691330177467]","[-4.654405930338771, -1.8460644971783062, 0.2524317730564521, -7.340097976013506, 1.2163261241889454]"
"[-4.654405930338771, -1.8460644971783062, 0.2524317730564521, -7.340097976013506, 1.2163261241889454]","[-4.596963534945391, -1.7789513803716215, 0.2926202880518144, -7.396345348542685, 1.208883663246316]"
"[-4.596963534945391, -1.7789513803716215, 0.2926202880518144, -7.396345348542685, 1.208883663246316]","[-4.606034316769487, -1.7835031781039137, 0.24849580001469213, -7.486455986584673, 1.2739720876010239]"
"[-4.606034316769487, -1.7835031781039137, 0.24849580001469213, -7.486455986584673, 1.2739720876010239]","[-4.535494168628933, -1.824270673032605, 0.33507479859952083, -7.557430948402614, 1.360363009034342]"
"[-4.535494168628933, -1.824270673032605, 0.33507479859952083, -7.557430948402614, 1.360363009034342]","[-4.62372690115747, -1.7539381738522206, 0.39025428623211755, -7.6199352742268465, 1.3038996101664746]"
"[-4.62372690115747, -1.7539381738522206, 0.39025428623211755, -7.6199352742268465, 1.3038996101664746]","[-4.713723359769847, -1.7425435685316382, 0.4322162957951121, -7.5583364196823934, 1.2860807338883347]"
"[-4.713723359769847, -1.7425435685316382, 0.4322162957951121, -7.5583364196823934, 1.2860807338883347]","[-4.614814518565689, -1.7078524172298508, 0.4123444967160549, -7.470645725597666, 1.218953797306916]"
"[-4.614814518565689, -1.7078524172298508, 0.4123444967160549, -7.470645725597666, 1.218953797306916]","[-4.5505499957921725, -1.6889960069284038, 0.3980658149335082, -7.516164385838817, 1.3066284299304438]"
"[-4.5505499957921725, -1.6889960069284038, 0.3980658149335082, -7.516164385838817, 1.3066284299304438]","[-4.479867559831408, -1.6187741917892582, 0.30405319492157984, -7.518212805501762, 1.3165287896110924]"
"[-4.479867559831408, -1.6187741917892582, 0.30405319492157984, -7.518212805501762, 1.3165287896110924]","[-4.386437409374199, -1.6761760877054852, 0.3801412155871656, -7.56397742806951, 1.356955373388327]"
"[-4.386437409374199, -1.6761760877054852, 0.3801412155871656, -7.56397742806951, 1.356955373388327]","[-4.307088231378159, -1.7061177333344484, 0.30462115633433695, -7.523947467395269, 1.4217900436893771]"
"[-4.307088231378159, -1.7061177333344484, 0.30462115633433695, -7.523947467395269, 1.4217900436893771]","[-4.2905124882545795, -1.7850783179852494, 0.2713581217750589, -7.431609455980023, 1.3467471703383287]"
"[-4.2905124882545795, -1.7850783179852494, 0.2713581217750589, -7.431609455980023, 1.3467471703383287]","[-4.250003587692562, -1.7620538460498536, 0.3581970161583446, -7.5279099491818595, 1.3199716138439332]"
"[-4.250003587692562, -1.7620538460498536, 0.3581970161583446, -7.5279099491818595, 1.3199716138439332]","[-4.349976680086522, -1.8278810366801839, 0.398550508488518, -7.530729224106152, 1.4145172493122535]"
"[-4.349976680086522, -1.8278810366801839, 0.398550508488518, -7.530729224106152, 1.4145172493122535]","[-4.305548084974545, -1.7953668437186823, 0.4928094894842273, -7.523948981138221, 1.3697658435728632]"
"[-4.305548084974545, -1.7953668437186823, 0.4928094894842273, -7.523948981138221, 1.3697658435728632]","[-4.253304794935576, -1.8842648722959057, 0.3987042327644542, -7.554444493399929, 1.2894554406039538]"
"[-4.253304794935576, -1.8842648722959057, 0.3987042327644542, -7.554444493399929, 1.2894554406039538]","[-4.190790000923411, -1.9118316174369057, 0.37361963781137486, -7.646751098325089, 1.204353611618981]"
"[-4.190790000923411, -1.9118316174369057, 0.37361963781137486, -7.646751098325089, 1.204353611618981]","[-4.1337110604123675, -1.8228109342508567, 0.34668461713500953, -7.5592216314455944, 1.2204578901198304]"
"[-4.1337110604123675, -1.8228109342508567, 0.34668461713500953, -7.5592216314455944, 1.2204578901198304]","[-4.17942047022867, -1.7574958359947823, 0.40516382134383067, -7.544262789194555, 1.175416832503884]"
"[-4.17942047022867, -1.7574958359947823, 0.40516382134383067, -7.544262789194555, 1.175416832503884]","[-4.135109587764067, -1.8170588589930345, 0.4191649882554393, -7.5374776845251, 1.1199587912713127]"
"[-4.135109587764067, -1.8170588589930345, 0.4191649882554393, -7.5374776845251, 1.1199587912713127]","[-4.078989396692544, -1.7806003566955733, 0.393940470252512, -7.509472256382929, 1.0726192320600567]"
"[-4.078989396692544, -1.7806003566955733, 0.393940470252512, -7.509472256382929, 1.0726192320600567]","[-4.089332992360293, -1.8409473549121183, 0.37807022278048397, -7.592274527785712, 1.024740294865398]"
"[-4.089332992360293, -1.8409473549121183, 0.37807022278048397, -7.592274527785712, 1.024740294865398]","[-4.130363924613841, -1.8006721455707895, 0.4207103337143612, -7.594900510950907, 1.0074992723064498]"
"[-4.130363924613841, -1.8006721455707895, 0.4207103337143612, -7.594900510950907, 1.0074992723064498]","[-4.059866436880179, -1.8947673868480437, 0.42470498249709965, -7.66974651573352, 0.9887090691801501]"
"[-4.059866436880179, -1.8947673868480437, 0.42470498249709965, -7.66974651573352, 0.9887090691801501]","[-4.019842537663762, -1.9285158056199323, 0.35527612122224017, -7.675207289369697, 0.9058336183355098]"
"[-4.019842537663762, -1.9285158056199323, 0.35527612122224017, -7.675207289369697, 0.9058336183355098]","[-4.036294297580273, -1.9877465267522254, 0.4132124219402763, -7.738464458770203, 0.9168569415064132]"
"[-4.036294297580273, -1.9877465267522254, 0.4132124219402763, -7.738464458770203, 0.9168569415064132]","[-3.9981505626706193, -2.0221244474352056, 0.3687187083119879, -7.657679882217848, 0.8517826704253701]"
"[-3.9981505626706193, -2.0221244474352056, 0.3687187083119879, -7.657679882217848, 0.8517826704253701]","[-4.077798152024084, -1.936248838955133, 0.42951522414578847, -7.726253709401347, 0.7519556647835375]"
"[-4.077798152024084, -1.936248838955133, 0.42951522414578847, -7.726253709401347, 0.7519556647835375]","[-4.085369490523063, -1.8398588586472893, 0.3522014204756884, -7.628938060052388, 0.8513165072583837]"
"[-4.085369490523063, -1.8398588586472893, 0.3522014204756884, -7.628938060052388, 0.8513165072583837]","[-3.998871505346609, -1.8087813777418167, 0.25891360612341874, -7.590383401586652, 0.8997268973249388]"
"[-3.998871505346609, -1.8087813777418167, 0.25891360612341874, -7.590383401586652, 0.8997268973249388]","[-3.90474003627252, -1.883747643723821, 0.27407838641315574, -7.644075900962394, 0.8007182931819657]"
"[-3.90474003627252, -1.883747643723821, 0.27407838641315574, -7.644075900962394, 0.8007182931819657]","[-3.9361769274477196, -1.9255895436428543, 0.276603922393152, -7.725378752762899, 0.7906477232130189]"
"[-3.9361769274477196, -1.9255895436428543, 0.276603922393152, -7.725378752762899, 0.7906477232130189]","[-3.8877578806699895, -1.8411054482373121, 0.3278666221922528, -7.6765508485085405, 0.7858033577276566]"
"[-3.8877578806699895, -1.8411054482373121, 0.3278666221922528, -7.6765508485085405, 0.7858033577276566]","[-3.864087817146612, -1.7908272540865742, 0.3347782494789855, -7.604817745689037, 0.7639959414476649]"
